Time,Population,Inflow,Outflow,Stock Change,Stock,cars per 1000 people,Kilometrage per vehicle,Fuel efficiency,Carbon intensity,Total km driven,Total gasoline consumend,Total direct CO2 emissions,,,,
1981,9.999251538,62951.92812,,,,,27200,9.07,2.4,,,,,,21,9.8201379
1982,9.999546021,45471.83911,,,,,27200,9.07,2.4,,,,,,20,9.706877692
1983,9.999724643,46989.5658,,,,,27200,9.07,2.4,,,,,,19,9.525741268
1984,9.999832986,97929.70245,,,,,27200,9.07,2.4,,,,,,18,9.2414182
1985,9.9998987,246926.4207,,,,,27200,9.07,2.4,,,,,,17,8.80797078
1986,9.999938558,189560.0339,,,,,27200,9.07,2.4,,,,,,16,8.175744762
1987,9.999962734,169567.0292,,,,,27200,9.07,2.4,,,,,,15,7.310585786
1988,9.999977397,213787.8421,,,,,27200,9.07,2.4,,,,,,14,6.224593312
1989,9.99998629,189120.2529,,,,,27200,9.07,2.4,,,,,,13,5
1990,9.999991685,190843.2527,,,,,27200,9.07,2.4,,,,,,12,3.775406688
1991,9.999994957,269124.6856,,,,,27200,9.07,2.4,,,,,,11,2.689414214
1992,9.999996941,454130.659,,,,,27200,9.07,2.4,,,,,,10,1.824255238
1993,9.999998145,650893.6825,,,,,27200,9.07,2.4,,,,,,9,1.19202922
1994,9.999998875,699527.9112,,,,,27200,9.07,2.4,,,,,,8,0.7585818
1995,9.999999317,754783.1479,,,,,27200,9.07,2.4,,,,,,7,0.474258732
1996,10,787853.6607,,,,,27200,9.07,2.4,,,,,,6,0.293122308
1997,10,1046749.342,,,,,27200,9.07,2.4,,,,,,5,0.1798621
1998,10,845216.7179,,,,,27300,9.07,2.4,,,,,,4,0.109869426
1999,10,997514.9398,,,,,26400,9.07,2.4,,,,,,3,0.066928509
2000,10,1304599.044,,,,,26400,9.07,2.4,,,,,,2,0.040701377
2001,10,1602565.015,,,,,26400,9.07,2.4,,,,,,1,0.024726232
2002,10,2320646.128,,,,,26000,9.07,2.4,,,,,,,
2003,10,3043941.799,,,,,25642.85714,8.924642857,2.4,,,,,,,
2004,10,2901349.637,,,,,25285.71429,8.779285714,2.4,,,,,,,
2005,10,4355222.189,,,,,24928.57143,8.633928571,2.4,,,,,,,
2006,10,5330733.844,,,,,24571.42857,8.488571429,2.4,,,,,,,
2007,10,6305879.464,,,,,24214.28571,8.343214286,2.4,,,,,,,
2008,10,7067520.637,,,,,23857.14286,8.197857143,2.4,,,,,,,
2009,10,,,,,33.79005102,23500,8.0525,2.4,,,,,,,
2010,10,,,,,39.76020408,23142.85714,7.907142857,2.4,,,,,,,
2011,10,,,,,46.61045918,22785.71429,7.761785714,2.4,,,,,,,
2012,10,,,,,54.34081633,22428.57143,7.616428571,2.4,,,,,,,
2013,10,,,,,62.95127551,22071.42857,7.471071429,2.4,,,,,,,
2014,10,,,,,72.44183673,21714.28571,7.325714286,2.4,,,,,,,
2015,10,,,,,82.8125,21357.14286,7.180357143,2.4,,,,,,,
2016,10,,,,,94.06326531,21000,7.035,2.4,,,,,,,
2017,10,,,,,106.1941327,20642.85714,6.889642857,2.4,,,,,,,
2018,10,,,,,119.205102,20285.71429,6.744285714,2.4,,,,,,,
2019,10,,,,,133.0961735,19928.57143,6.598928571,2.4,,,,,,,
2020,10,,,,,147.8673469,19571.42857,6.453571429,2.4,,,,,,,
2021,10,,,,,162.7722675,19214.28571,6.308214286,2.4,,,,,,,
2022,10,,,,,177.4769309,18857.14286,6.162857143,2.4,,,,,,,
2023,10,,,,,191.9672486,18500,6.0175,2.4,,,,,,,
2024,10,,,,,206.2289394,18142.85714,5.872142857,2.4,,,,,,,
2025,10,,,,,220.2477222,17785.71429,5.726785714,2.4,,,,,,,
2026,10,,,,,234.0093159,17428.57143,5.581428571,2.4,,,,,,,
2027,10,,,,,247.4994394,17071.42857,5.436071429,2.4,,,,,,,
2028,10,,,,,260.7038117,16714.28571,5.290714286,2.4,,,,,,,
2029,10,,,,,273.6081516,16357.14286,5.145357143,2.4,,,,,,,
2030,10,,,,,286.198178,16000,5,2.4,,,,,,,
2031,10,,,,,298.45961,15950,5,2.4,,,,,,,
2032,10,,,,,310.3781662,15900,5,2.4,,,,,,,
2033,10,,,,,321.9395658,15850,5,2.4,,,,,,,
2034,10,,,,,333.1295275,15800,5,2.4,,,,,,,
2035,10,,,,,343.9337703,15750,5,2.4,,,,,,,
2036,10,,,,,354.3380131,15700,5,2.4,,,,,,,
2037,10,,,,,364.3279748,15650,5,2.4,,,,,,,
2038,10,,,,,373.8893743,15600,5,2.4,,,,,,,
2039,10,,,,,383.0079306,15550,5,2.4,,,,,,,
2040,10,,,,,391.6693624,15500,5,2.4,,,,,,,
2041,10,,,,,399.8593888,15450,5,2.4,,,,,,,
2042,10,,,,,407.5637287,15400,5,2.4,,,,,,,
2043,10,,,,,414.7681008,15350,5,2.4,,,,,,,
2044,10,,,,,421.4582243,15300,5,2.4,,,,,,,
2045,10,,,,,427.6198178,15250,5,2.4,,,,,,,
2046,10,,,,,433.2386005,15200,5,2.4,,,,,,,
2047,10,,,,,438.3002911,15150,5,2.4,,,,,,,
2048,10,,,,,442.7906087,15100,5,2.4,,,,,,,
2049,10,,,,,446.695272,15050,5,2.4,,,,,,,
2050,10,,,,,450,15000,5,2.4,,,,,,,
2051,9.9,,,,,,,,,,,,,,,
2052,9.8,,,,,,,,,,,,,,,
2053,9.7,,,,,,,,,,,,,,,
2054,9.6,,,,,,,,,,,,,,,
2055,9.5,,,,,,,,,,,,,,,
2056,9.4,,,,,,,,,,,,,,,
2057,9.3,,,,,,,,,,,,,,,
2058,9.2,,,,,,,,,,,,,,,
2059,9.1,,,,,,,,,,,,,,,
2060,9,,,,,,,,,,,,,,,
2061,8.9,,,,,,,,,,,,,,,
2062,8.8,,,,,,,,,,,,,,,
2063,8.7,,,,,,,,,,,,,,,
2064,8.6,,,,,,,,,,,,,,,
2065,8.5,,,,,,,,,,,,,,,
2066,8.4,,,,,,,,,,,,,,,
2067,8.3,,,,,,,,,,,,,,,
2068,8.2,,,,,,,,,,,,,,,
2069,8.1,,,,,,,,,,,,,,,
2070,8,,,,,,,,,,,,,,,
2071,7.9,,,,,,,,,,,,,,,
2072,7.8,,,,,,,,,,,,,,,
2073,7.7,,,,,,,,,,,,,,,
2074,7.6,,,,,,,,,,,,,,,
2075,7.5,,,,,,,,,,,,,,,
2076,7.4,,,,,,,,,,,,,,,
2077,7.3,,,,,,,,,,,,,,,
2078,7.2,,,,,,,,,,,,,,,
2079,7.1,,,,,,,,,,,,,,,
2080,7,,,,,,,,,,,,,,,
2081,6.9,,,,,,,,,,,,,,,
2082,6.8,,,,,,,,,,,,,,,
2083,6.7,,,,,,,,,,,,,,,
2084,6.6,,,,,,,,,,,,,,,
2085,6.5,,,,,,,,,,,,,,,
2086,6.4,,,,,,,,,,,,,,,
2087,6.3,,,,,,,,,,,,,,,
2088,6.2,,,,,,,,,,,,,,,
2089,6.1,,,,,,,,,,,,,,,
2090,6,,,,,,,,,,,,,,,
2091,5.9,,,,,,,,,,,,,,,
2092,5.8,,,,,,,,,,,,,,,
2093,5.7,,,,,,,,,,,,,,,
2094,5.6,,,,,,,,,,,,,,,
2095,5.5,,,,,,,,,,,,,,,
2096,5.4,,,,,,,,,,,,,,,
2097,5.3,,,,,,,,,,,,,,,
2098,5.2,,,,,,,,,,,,,,,
2099,5.1,,,,,,,,,,,,,,,
2100,5,,,,,,,,,,,,,,,
